code,name,status,codeforiati:organisation-type-code,codeforiati:hq-country-or-region,codeforiati:organisation-type,codeforiati:registry-identifier
GB-CHC-1107403,GOAL,active,21,Ireland,International NGO,goal
GB-COH-3578127,Ethical Trading Initiative,active,21,United Kingdom,International NGO,eti
GPAF-IMP-031,Development Aid from People to People (DAPP) Malawi,active,22,Malawi,National NGO,dapp
XM-DAC-41122,Fondo de las Naciones Unidas para la Infancia (UNICEF),active,40,(No country assigned),Multilateral,unicef
US-IRS-562339052,CDA Collaborative Learning Projects,active,21,United States,International NGO,cda
SL-NRA-1001562-8,"Medical Research Centre (MRC), Sierra Leona",active,22,Sierra Leone,National NGO,mrc-sierra-leone
GB-SC-SC035314,Scotland's International Development Alliance,active,23,United Kingdom,Regional NGO,sinda
XM-DAC-41140,Programa Mundial de Alimentos de las Naciones Unidas (PMA),active,40,Italy,Multilateral,wfp
BE-BCE_KBO-0462279234,ACODEV,active,22,Belgium,National NGO,acodev
IE-CHY-6410,Dóchas - Irish Association of Non Governmental Development Organisations,active,22,Ireland,National NGO,dochas
GB-COH-01926828,Farm Africa,active,21,United Kingdom,International NGO,fa
IN-AR-775,Pragya India,active,22,India,National NGO,pragya
GB-CHC-1109789,Y Care International,active,21,United Kingdom,International NGO,ycare
GB-CHC-1115109,Women for Women International (Reino Unido),active,21,United Kingdom,International NGO,wfwiuk
GB-CHC-274467,ActionAid UK,active,21,United Kingdom,International NGO,aauk
NG-CAC-5938,Association for Reproductive and Family Health,active,22,Nigeria,National NGO,arfh
XM-DAC-46002,Banco Africano de Desarrollo,active,40,(No country assigned),Multilateral,afdb
46002,Banco Africano de Desarrollo,withdrawn,40,(No country assigned),Multilateral,afdb
NL-KVK-27327087,Fundación Akvo,active,21,Netherlands,International NGO,akvo
GB-CHC-1043843,Saferworld,active,21,United Kingdom,International NGO,saferworld
XM-DAC-41119,,active,40,(No country assigned),Multilateral,unfpa
41119,Fondo de Población de las Naciones Unidas,withdrawn,40,(No country assigned),Multilateral,unfpa
NP-DAO-27-127/062/063,Freedom Forum,active,22,Nepal,National NGO,ff
GB-CHC-1045348,Afghanaid,active,21,United Kingdom,International NGO,afghanaid
NZ-1,"Nueva Zelandia: Ministerio de Asuntos Exteriores y Comercio, Programa de Ayuda de Nueva Zelandia",active,10,New Zealand,Government,mfat
CA-3,Canadá: Ministerio de Asuntos Mundiales,active,10,Canada,Government,gac-amc
XI-IATI-EC_FPI,Comisión Europea: Servicio de Instrumentos de Política Exterior,active,15,"Europe, regional",Other Public Sector,ec-fpi
XI-IATI-EC_NEAR,Comisión Europea: Política de Vecindad y Negociaciones de Ampliación,active,15,(No country assigned),Other Public Sector,ec-near
ES-DIR3-E04585801,"España: Ministerio de Asuntos Exteriores, Unión Europea y Cooperación",active,10,Spain,Government,maec
GB-COH-1762840,HelpAge International,active,21,United Kingdom,International NGO,helpage_international
SACU,Send a Cow Uganda,active,22,Uganda,National NGO,sacu
XM-DAC-21-1,Irlanda: Ministerio de Asuntos Exteriores y Comercio,active,10,Ireland,Government,irishaid
GB-GOV-9,,active,10,United Kingdom,Government,dwp
GB-GOV-GB-9,,withdrawn,10,United Kingdom,Government,dwp
GB-9,Reino Unido: Ministerio de Trabajo y Pensiones,withdrawn,10,United Kingdom,Government,dwp
GB-CHC-1120932,Network for Africa,active,21,United Kingdom,International NGO,network4africa
GB-CC-1098893,Blue Ventures Conservation,active,21,United Kingdom,International NGO,blueventures
GB-CHC-1114944,iPartner India,active,21,United Kingdom,International NGO,ip-india
GB-SC-SC037959,Link Community Development Scotland,active,21,United Kingdom,International NGO,lcds
GB-COH-07629751,Digital Campus,active,80,United Kingdom,"Academic, Training and Research",dc
ZA-NPO-013484,Heifer International South Africa,active,22,South Africa,National NGO,hsa
XI-IATI-EC_ECHO,Comisión Europea: Ayuda Humanitaria y Protección Civil,active,15,(No country assigned),Other Public Sector,ec-echo
TN-TIN-102123727,CUAMM Trustees,active,22,"Tanzania, United Republic of",National NGO,cuammtrustees
GB-GOV-10,Reino Unido: Ministerio de Sanidad y Servicios Sociales,active,10,United Kingdom,Government,dhsc
GB-CHC-1120413,MICAIA,active,21,United Kingdom,International NGO,mic-uk
US-IRS-13-5661832,Plan International USA,active,21,United States,International NGO,plan_usa
GB-CHC-1096908,Afghanistan and Central Asian Association,active,21,United Kingdom,International NGO,acaa
GB-COH-RC000346,Reino Unido: Consejo de Investigación Médica,active,10,United Kingdom,Government,mrc
KE-NGC-3372,I Choose Life Africa,active,22,Kenya,National NGO,ke-ngc-3372
GB-CHC-1065972,International Rescue Committee UK,active,21,United Kingdom,International NGO,irc_uk
GB-COH-06407873,HTSPE,active,70,United Kingdom,Private Sector,htspe
GB-CHC-1024903,Hospice Africa Ltd,active,80,United Kingdom,"Academic, Training and Research",hauk
GB-CHC-326859,Able Child Africa,active,21,United Kingdom,International NGO,ablechildafrica
NP-SWC-13712,Global Action Nepal,active,22,Nepal,National NGO,gan
GB-COH-2732176,Adam Smith International,active,70,United Kingdom,Private Sector,asi
US-EIN-131837418,The Foundation Center,active,21,United States,International NGO,foundation_center
GB-COH-4884328,Integrity Action,active,21,United Kingdom,International NGO,integrity_action
CH-4,Suiza: Agencia Suiza para el Desarrollo y la Cooperación (COSUDE),active,10,Switzerland,Government,sdc_ch
GB-CHC-1078803,Bees for Development Trust,active,21,United Kingdom,International NGO,beesfordevelopment
FR-SIRET-4028868160030,ACTED,active,21,France,International NGO,acted
XM-DAC-7,Países Bajos: Ministerio de Asuntos Exteriores,active,10,Netherlands,Government,minbuza_nl
GB-CHC-289036,Emmanuel International UK,active,21,United Kingdom,International NGO,eiuk
GB-CHC-291333,Feed the Minds,active,21,United Kingdom,International NGO,ftm-291333
NP-DAO-27-689/063/064,NGO Federation of Nepal,active,22,Nepal,National NGO,nfn
GB-COH-03259922,Crown Agents Limited,active,70,United Kingdom,Private Sector,cal
GB-COH-04589451,Ark (Absolute Return for Kids),active,21,United Kingdom,International NGO,ark
GB-CHC-290836,APT Action on Poverty,active,21,United Kingdom,International NGO,apt
KE-NGCB-149,SOS Children's Villages Kenya,active,21,Kenya,International NGO,soscvkenya
GB-CHC-1083008,MAG,active,21,United Kingdom,International NGO,mag
GB-CHC-1098752,Target TB,active,21,United Kingdom,International NGO,targettb
XM-DAC-41127,Oficina de Coordinación de Asuntos Humanitarios de las Naciones Unidas (OCHA),active,40,Switzerland,Multilateral,unocha
