code,name,status,codeforiati:group-code,codeforiati:group-name,codeforiati:category-code,codeforiati:category-name
31110,Política e gestão administrativa da agricultura,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31120,Desenvolvimento agrícola,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31130,Recursos fundiários agrícolas,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31140,Recursos hídricos agrícolas,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31150,Insumos agrícolas,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31161,Produção de culturas alimentares,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31162,Culturas industriais/culturas para exportação,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31163,Pecuária,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31164,Reforma agrária,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31165,Desenvolvimento de alternativas agrícolas,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31166,Expansão agrícola,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31181,Educação/formação sobre agricultura,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31182,Investigação agrícola,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31191,Serviços agrícolas,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31192,Proteção e controle de pragas para plantas e pós-colheitas,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31193,Serviços financeiros agrícolas,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31194,Cooperativas agrícolas,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31195,Serviços pecuários/veterinários,active,310,"Agricultura, Silvicultura, Pesca",311,Agricultura
31210,Política e gestão administrativa da silvicultura,active,310,"Agricultura, Silvicultura, Pesca",312,Silvicultura
31220,Desenvolvimento florestal,active,310,"Agricultura, Silvicultura, Pesca",312,Silvicultura
31261,Lenha/carvão vegetal,active,310,"Agricultura, Silvicultura, Pesca",312,Silvicultura
31281,Educação/formação sobre silvicultura,active,310,"Agricultura, Silvicultura, Pesca",312,Silvicultura
31282,Investigação florestal,active,310,"Agricultura, Silvicultura, Pesca",312,Silvicultura
31291,Serviços florestais,active,310,"Agricultura, Silvicultura, Pesca",312,Silvicultura
31310,Política e gestão administrativa da pesca,active,310,"Agricultura, Silvicultura, Pesca",313,Pesca
31320,Desenvolvimento da pesca,active,310,"Agricultura, Silvicultura, Pesca",313,Pesca
31381,Educação/formação sobre pesca,active,310,"Agricultura, Silvicultura, Pesca",313,Pesca
31382,Investigação sobre pesca,active,310,"Agricultura, Silvicultura, Pesca",313,Pesca
31391,Serviços pesqueiros,active,310,"Agricultura, Silvicultura, Pesca",313,Pesca
32110,Política e gestão administrativa da indústria,active,320,"Indústria, extractivas, construção",321,Indústria
32120,Desenvolvimento industrial,active,320,"Indústria, extractivas, construção",321,Indústria
32130,Desenvolvimento de pequenas e médias empresas (PME),active,320,"Indústria, extractivas, construção",321,Indústria
32140,Indústrias caseiras e artesanato,active,320,"Indústria, extractivas, construção",321,Indústria
32161,Agroindústrias,active,320,"Indústria, extractivas, construção",321,Indústria
32162,Indústrias florestais,active,320,"Indústria, extractivas, construção",321,Indústria
32163,"Têxteis, couros e substitutos",active,320,"Indústria, extractivas, construção",321,Indústria
32164,Produtos químicos,active,320,"Indústria, extractivas, construção",321,Indústria
32165,Fábricas de fertilizantes,active,320,"Indústria, extractivas, construção",321,Indústria
32166,Cimento/cal/gesso,active,320,"Indústria, extractivas, construção",321,Indústria
32167,Indústria da energia (combustíveis fósseis),active,320,"Indústria, extractivas, construção",321,Indústria
32168,Produção farmacêutica,active,320,"Indústria, extractivas, construção",321,Indústria
32169,Indústrias de metais básicos,active,320,"Indústria, extractivas, construção",321,Indústria
32170,Indústrias de metais não ferrosos,active,320,"Indústria, extractivas, construção",321,Indústria
32171,Engenharia,active,320,"Indústria, extractivas, construção",321,Indústria
32172,Indústria de equipamento de transporte,active,320,"Indústria, extractivas, construção",321,Indústria
32173,Fabricação de biocombustíveis modernos,active,320,"Indústria, extractivas, construção",321,Indústria
32174,Fabricação de aparelhos domésticos para a cozinha ecológica,active,320,"Indústria, extractivas, construção",321,Indústria
32182,Investigação e desenvolvimento tecnológicos,active,320,"Indústria, extractivas, construção",321,Indústria
32210,Política e gestão administrativa dos minerais/minas,active,320,"Indústria, extractivas, construção",322,Recursos minerais e mineração
32220,Prospecção e exploração mineral,active,320,"Indústria, extractivas, construção",322,Recursos minerais e mineração
