code,status,codeforiati:registry-identifier,codeforiati:organisation-type-code,codeforiati:organisation-type,codeforiati:hq-country-or-region
XM-DAC-41127,active,unocha,40,Multilateral,Switzerland
GB-COH-1858644,active,dai-e,70,Private Sector,United Kingdom
GB-CHC-1087997,active,starsfoundation,60,Foundation,United Kingdom
NP-DAO-531/062/063,active,phase-nepal,22,National NGO,Nepal
FR-6,active,france,10,Government,France
XI-IATI-035026724,active,hwa-zm,21,International NGO,Zimbabwe
IE-CHY-15037,active,plan_ireland,21,International NGO,Ireland
FR-3,active,afd,15,Other Public Sector,France
GB-CHC-209131,active,britishcouncil,15,Other Public Sector,United Kingdom
GB-CHC-1128536,active,street_child,21,International NGO,United Kingdom
GB-CHC-1081695,active,vao,21,International NGO,United Kingdom
GB-COH-03580586-GEC,active,gecfundmanagerpwc,70,Private Sector,United Kingdom
GB-COH-07669775,active,mgcubed,70,Private Sector,Ghana
US-EIN-54-0536100,active,childfund,21,International NGO,United States
NP-DAO-DANG-18-046/47,active,base_22,22,National NGO,Nepal
GB-CHC-1104458,active,tfac,21,International NGO,United Kingdom
GB-CHC-1093861,active,imc_uk,21,International NGO,United Kingdom
GB-COH-7557881,active,simlab,21,International NGO,United Kingdom
KE-RCO-270901,active,edt_kenya,21,International NGO,Kenya
GB-CHC-213251,active,lepra,21,International NGO,United Kingdom
JO-CCD-50544,active,arij,80,"Academic, Training and Research",Jordan
NL-KVK-41188664,active,ics,21,International NGO,Netherlands
DAC-1601,active,bmgf,60,Foundation,United States
NP-SWC-00589,active,shtrii_shakti,22,National NGO,Nepal
GB-CHC-1085096,active,wcf,21,International NGO,United Kingdom
MW-NBM-00139,active,tfacmalawi,22,National NGO,Malawi
NL-KVK-41166983,active,cilc,60,Foundation,Netherlands
GB-CHC-1135156,active,treea,21,International NGO,United Kingdom
CA-CRA_ARC-119304848,active,wusc,21,International NGO,Canada
GB-CHC-1154085,active,eel,21,International NGO,United Kingdom
TZ-BRLA-36057,active,kpmgea,70,Private Sector,Kenya
GB-CHC-1053389,active,viva,21,International NGO,United Kingdom
47111,active,af,40,Multilateral,United States
DK-CVR-33985339,active,trianglen,22,National NGO,Denmark
GB-CHC-1094478,active,excellent,21,International NGO,United Kingdom
GB-CHC-1047501,active,acf,21,International NGO,United Kingdom
CA-4,active,finance_canada,10,Government,Canada
GB-CHC-1105489,active,sct,21,International NGO,United Kingdom
DE-AG-VR7795,active,fairtrade_international,21,International NGO,Germany
NL-KVK-41210098,active,bothends,22,National NGO,Netherlands
NL-KVK-20093733,active,heifernederland,22,National NGO,Netherlands
GB-CHC-1112699,active,tamtf,21,International NGO,United Kingdom
NL-KVK-34141098,active,fairfood,22,National NGO,Netherlands
NL-KVK-41201806,active,tni,60,Foundation,Netherlands
GB-CHC-261488,active,amrefha,21,International NGO,United Kingdom
XI-IATI-CHSA,active,chs_alliance,21,International NGO,Switzerland
NL-KVK-40535338,active,foei,21,International NGO,Netherlands
PK-MSW-633-1965,active,rfpap,22,National NGO,Pakistan
GB-CHC-1147083,active,rojiroti,21,International NGO,United Kingdom
GB-CHC-1125512,active,livelyminds,21,International NGO,United Kingdom
NL-KVK-27108436,active,onl,21,International NGO,Netherlands
GB-COH-877338,active,ids,80,"Academic, Training and Research",United Kingdom
GB-SC-SC032327,active,emms,21,International NGO,United Kingdom
US-EIN-522043740,active,dla,21,International NGO,United States
GB-CHC-1128267-8,active,ageintl,22,National NGO,United Kingdom
GB-CHC-293734,active,ced,21,International NGO,United Kingdom
GB-GOV-7,active,defra_transparency,10,Government,United Kingdom
BE-BCE_KBO-0447404580,active,asf,22,National NGO,Belgium
US-501c3-522318905,active,aiddata,80,"Academic, Training and Research",United States
XM-DAC-701-8,active,jica,10,Government,Japan
GB-SC-037597,active,cifal,80,"Academic, Training and Research",United Kingdom
US-EIN-84-1166148,active,w4p,21,International NGO,United States
NL-KVK-27248417,active,aqua4all,60,Foundation,Netherlands
GB-CHC-1112734,active,phase_worldwide,21,International NGO,United Kingdom
KE-NGC-9381,active,across,21,International NGO,Kenya
GB-CHC-295224,active,muslimaid,21,International NGO,United Kingdom
GB-CHC-250456,active,fyf,21,International NGO,United Kingdom
XM-DAC-47501,active,gpe,40,Multilateral,United States
GB-CHC-1086159,active,onetoonecf,21,International NGO,United Kingdom
