code,name,status,codeforiati:category-name,codeforiati:category-code,codeforiati:group-code,codeforiati:group-name
21081,Educación y capacitación en transporte y almacenamiento,active,Transporte y almacenamiento,210,210,Transporte y almacenamiento
22010,Gestión administrativa y políticas de las comunicaciones,active,Comunicaciones,220,220,Comunicaciones
22020,Telecomunicaciones,active,Comunicaciones,220,220,Comunicaciones
22030,"Medios de radio, televisión y prensa escrita",active,Comunicaciones,220,220,Comunicaciones
22040,Tecnología de la información y las comunicaciones (TIC),active,Comunicaciones,220,220,Comunicaciones
23110,Gestión administrativa y políticas de la energía,active,Política energética,231,230,Energía
23181,Educación y capacitación en energía,active,Política energética,231,230,Energía
23182,Investigación sobre la energía,active,Política energética,231,230,Energía
23183,Conservación de la energía y eficiencia desde el punto de vista de la demanda,active,Política energética,231,230,Energía
23210,"Generación de energía, fuentes renovables: múltiples tecnologías",active,"Generación de energía, fuentes renovables",232,230,Energía
23220,Centrales hidroeléctricas,active,"Generación de energía, fuentes renovables",232,230,Energía
23230,Energía solar para redes centralizadas,active,"Generación de energía, fuentes renovables",232,230,Energía
23231,Energía solar para redes aisladas y sistemas autónomos,active,"Generación de energía, fuentes renovables",232,230,Energía
23232,Energía solar: aplicaciones térmicas,active,"Generación de energía, fuentes renovables",232,230,Energía
23240,Energía eólica,active,"Generación de energía, fuentes renovables",232,230,Energía
23250,Energía marina,active,"Generación de energía, fuentes renovables",232,230,Energía
23260,Energía geotérmica,active,"Generación de energía, fuentes renovables",232,230,Energía
23270,Centrales de biocombustibles,active,"Generación de energía, fuentes renovables",232,230,Energía
23310,"Generación de energía, fuentes no renovables, sin especificar",active,"Generación de energía, fuentes no renovables",233,230,Energía
23320,Centrales eléctricas de carbón,active,"Generación de energía, fuentes no renovables",233,230,Energía
23330,Centrales eléctricas de combustible líquido,active,"Generación de energía, fuentes no renovables",233,230,Energía
23340,Centrales eléctricas de gas natural,active,"Generación de energía, fuentes no renovables",233,230,Energía
23350,Centrales eléctricas de combustible fósil con captura y almacenamiento de carbono,active,"Generación de energía, fuentes no renovables",233,230,Energía
23360,Centrales eléctricas de residuos no renovables,active,"Generación de energía, fuentes no renovables",233,230,Energía
23410,Centrales eléctricas de energía híbrida,active,Centrales de energía híbrida,234,230,Energía
23510,Centrales eléctricas de energía nuclear y seguridad nuclear,active,Centrales de energía nuclear,235,230,Energía
23610,Centrales de producción de calor,active,Distribución de la energía,236,230,Energía
23620,Calefacción y refrigeración urbanas,active,Distribución de la energía,236,230,Energía
23630,Transmisión y distribución de energía eléctrica (redes centralizadas),active,Distribución de la energía,236,230,Energía
23631,Transmisión y distribución de energía eléctrica (minirredes aisladas),active,Distribución de la energía,236,230,Energía
23640,Distribución de gas al por menor,active,Distribución de la energía,236,230,Energía
23641,Distribución de combustibles fósiles líquidos o sólidos al por menor,active,Distribución de la energía,236,230,Energía
23642,Infraestructuras para la movilidad eléctrica,active,Distribución de la energía,236,230,Energía
24010,Gestión administrativa y políticas financieras,active,Servicios bancarios y financieros,240,240,Servicios bancarios y financieros
24020,Instituciones financieras,active,Servicios bancarios y financieros,240,240,Servicios bancarios y financieros
24030,Intermediarios financieros del sector formal,active,Servicios bancarios y financieros,240,240,Servicios bancarios y financieros
24040,Intermediarios financieros formales o semiformales,active,Servicios bancarios y financieros,240,240,Servicios bancarios y financieros
24050,"Facilitación, promoción y optimización de remesas",active,Servicios bancarios y financieros,240,240,Servicios bancarios y financieros
24081,Educación o capacitación en servicios bancarios y financieros,active,Servicios bancarios y financieros,240,240,Servicios bancarios y financieros
25010,Políticas y administración empresariales,active,Empresas y otros servicios,250,250,Empresas y otros servicios
25020,Privatización,active,Empresas y otros servicios,250,250,Empresas y otros servicios
25030,Servicios de desarrollo empresarial,active,Empresas y otros servicios,250,250,Empresas y otros servicios
25040,Conducta empresarial responsable,active,Empresas y otros servicios,250,250,Empresas y otros servicios
31110,Gestión administrativa y políticas agrícolas,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31120,Desarrollo agrícola,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31130,Recursos agrícolas terrestres,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31140,Recursos agrícolas hídricos,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31150,Insumos agrícolas,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31161,Producción de cultivos alimentarios,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31162,Cultivos industriales o de exportación,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31163,Ganadería,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31164,Reforma agraria,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31165,Desarrollo de alternativas agrícolas,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31166,Extensión agrícola,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31181,Educación o capacitación agrícola,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31182,Investigación agrícola,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31191,Servicios agrícolas,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31192,Protección y lucha contra las plagas de plantas y poscosecha,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31193,Servicios financieros agrícolas,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31194,Cooperativas agrícolas,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31195,Servicios ganaderos o veterinarios,active,Agricultura,311,310,"Agricultura, Silvicultura, Pesca"
31210,Gestión administrativa y políticas forestales,active,Silvicultura,312,310,"Agricultura, Silvicultura, Pesca"
31220,Desarrollo forestal,active,Silvicultura,312,310,"Agricultura, Silvicultura, Pesca"
31261,Leña o carbón vegetal,active,Silvicultura,312,310,"Agricultura, Silvicultura, Pesca"
31281,Educación y capacitación en silvicultura,active,Silvicultura,312,310,"Agricultura, Silvicultura, Pesca"
31282,Investigación sobre silvicultura,active,Silvicultura,312,310,"Agricultura, Silvicultura, Pesca"
31291,Servicios relacionados con la silvicultura,active,Silvicultura,312,310,"Agricultura, Silvicultura, Pesca"
31310,Gestión administrativa y políticas pesqueras,active,Pesca,313,310,"Agricultura, Silvicultura, Pesca"
31320,Desarrollo pesquero,active,Pesca,313,310,"Agricultura, Silvicultura, Pesca"
31381,Educación o capacitación en pesca,active,Pesca,313,310,"Agricultura, Silvicultura, Pesca"
31382,Investigación sobre pesca,active,Pesca,313,310,"Agricultura, Silvicultura, Pesca"
31391,Servicios pesqueros,active,Pesca,313,310,"Agricultura, Silvicultura, Pesca"
32110,Gestión administrativa y políticas industriales,active,Industria,321,320,"Industria, extractivas, construcción"
32120,Desarrollo industrial,active,Industria,321,320,"Industria, extractivas, construcción"
32130,Desarrollo de pequeñas y medianas empresas (pymes),active,Industria,321,320,"Industria, extractivas, construcción"
32140,Industria familiar y artesanía,active,Industria,321,320,"Industria, extractivas, construcción"
32161,Agroindustrias,active,Industria,321,320,"Industria, extractivas, construcción"
